.chain,.iteration,.draw,variable,value
0,80,80,rtu_weekly_diff_first_diff_ar_process_noise,0.0420936681330204
0,81,81,rtu_weekly_diff_first_diff_ar_process_noise,0.12432605028152466
0,82,82,rtu_weekly_diff_first_diff_ar_process_noise,0.11444045603275299
0,83,83,rtu_weekly_diff_first_diff_ar_process_noise,0.0997745618224144
0,84,84,rtu_weekly_diff_first_diff_ar_process_noise,-0.0019861706532537937
0,85,85,rtu_weekly_diff_first_diff_ar_process_noise,-0.2210121899843216
0,86,86,rtu_weekly_diff_first_diff_ar_process_noise,-0.012197091244161129
0,87,87,rtu_weekly_diff_first_diff_ar_process_noise,0.12587347626686096
0,88,88,rtu_weekly_diff_first_diff_ar_process_noise,0.09142304211854935
0,89,89,rtu_weekly_diff_first_diff_ar_process_noise,0.10921772569417953
0,90,90,rtu_weekly_diff_first_diff_ar_process_noise,-0.08833102881908417
0,91,91,rtu_weekly_diff_first_diff_ar_process_noise,0.1288490891456604
0,92,92,rtu_weekly_diff_first_diff_ar_process_noise,-0.045418959110975266
0,93,93,rtu_weekly_diff_first_diff_ar_process_noise,0.09169402718544006
0,94,94,rtu_weekly_diff_first_diff_ar_process_noise,-0.18746165931224823
0,95,95,rtu_weekly_diff_first_diff_ar_process_noise,-0.15232324600219727
0,96,96,rtu_weekly_diff_first_diff_ar_process_noise,-0.17669540643692017
0,97,97,rtu_weekly_diff_first_diff_ar_process_noise,-0.17708218097686768
0,98,98,rtu_weekly_diff_first_diff_ar_process_noise,0.02418654039502144
0,99,99,rtu_weekly_diff_first_diff_ar_process_noise,0.015593002550303936
0,100,100,rtu_weekly_diff_first_diff_ar_process_noise,0.035135168582201004
0,101,101,rtu_weekly_diff_first_diff_ar_process_noise,0.07496331632137299
0,102,102,rtu_weekly_diff_first_diff_ar_process_noise,0.07926027476787567
0,103,103,rtu_weekly_diff_first_diff_ar_process_noise,0.09880148619413376
0,104,104,rtu_weekly_diff_first_diff_ar_process_noise,-0.10068025439977646
0,105,105,rtu_weekly_diff_first_diff_ar_process_noise,-0.0018758515361696482
0,106,106,rtu_weekly_diff_first_diff_ar_process_noise,0.07074075937271118
0,107,107,rtu_weekly_diff_first_diff_ar_process_noise,0.1570555716753006
0,108,108,rtu_weekly_diff_first_diff_ar_process_noise,-0.03996855020523071
0,109,109,rtu_weekly_diff_first_diff_ar_process_noise,0.4193371534347534
0,110,110,rtu_weekly_diff_first_diff_ar_process_noise,0.37749266624450684
0,111,111,rtu_weekly_diff_first_diff_ar_process_noise,-0.08097068220376968
0,112,112,rtu_weekly_diff_first_diff_ar_process_noise,0.01361605990678072
0,113,113,rtu_weekly_diff_first_diff_ar_process_noise,-0.05133802071213722
0,114,114,rtu_weekly_diff_first_diff_ar_process_noise,0.045029692351818085
0,115,115,rtu_weekly_diff_first_diff_ar_process_noise,0.08087664842605591
0,116,116,rtu_weekly_diff_first_diff_ar_process_noise,0.053406860679388046
0,117,117,rtu_weekly_diff_first_diff_ar_process_noise,0.2704845666885376
0,118,118,rtu_weekly_diff_first_diff_ar_process_noise,0.21651971340179443
0,119,119,rtu_weekly_diff_first_diff_ar_process_noise,0.07838671654462814
0,120,120,rtu_weekly_diff_first_diff_ar_process_noise,-0.05991588160395622
0,121,121,rtu_weekly_diff_first_diff_ar_process_noise,0.09617084264755249
0,122,122,rtu_weekly_diff_first_diff_ar_process_noise,0.07419513165950775
0,123,123,rtu_weekly_diff_first_diff_ar_process_noise,0.029015017673373222
0,124,124,rtu_weekly_diff_first_diff_ar_process_noise,0.02063833363354206
0,125,125,rtu_weekly_diff_first_diff_ar_process_noise,0.12415409088134766
