.chain,.iteration,.draw,variable,value
0,250,0,latent_infections,1.4400701786598802e-7
0,1,1,latent_infections,2.3919712432984852e-8
0,2,2,latent_infections,1.7367398186252103e-7
0,3,3,latent_infections,1.3831834166921908e-7
0,4,4,latent_infections,3.2643467307025276e-7
0,5,5,latent_infections,3.446495782100101e-7
0,6,6,latent_infections,1.6353403680113843e-6
0,7,7,latent_infections,1.4243030932448164e-7
0,8,8,latent_infections,2.1277152484344697e-7
0,9,9,latent_infections,2.1084630930090498e-7
0,10,10,latent_infections,3.919000945984408e-8
0,11,11,latent_infections,6.688772202778637e-8
0,12,12,latent_infections,2.393431586256156e-8
0,13,13,latent_infections,5.0894520597921655e-8
0,14,14,latent_infections,7.951344827006324e-8
0,15,15,latent_infections,2.9404354506823438e-8
0,16,16,latent_infections,1.4218019828149409e-7
0,17,17,latent_infections,5.513463463557855e-8
0,18,18,latent_infections,9.036919834670698e-8
0,19,19,latent_infections,1.0542362360865809e-7
0,20,20,latent_infections,5.036793027102249e-7
0,21,21,latent_infections,5.743837618865655e-7
0,22,22,latent_infections,2.136238030914228e-8
0,23,23,latent_infections,4.173641343641066e-8
0,24,24,latent_infections,2.5170315609557292e-8
0,25,25,latent_infections,6.168924215899096e-8
0,26,26,latent_infections,2.5304421669147814e-8
0,27,27,latent_infections,3.614687216213497e-8
0,28,28,latent_infections,1.1739765426455051e-7
0,29,29,latent_infections,4.946601350752644e-9
0,30,30,latent_infections,6.749994696519934e-8
0,31,31,latent_infections,1.0649758763747741e-7
0,32,32,latent_infections,5.059130216977792e-7
0,33,33,latent_infections,4.059988327753672e-7
0,34,34,latent_infections,9.379662060382543e-7
0,35,35,latent_infections,2.3169263840827625e-7
0,36,36,latent_infections,9.176132920174496e-8
0,37,37,latent_infections,1.4523493518936448e-7
0,38,38,latent_infections,1.8184387329256424e-8
0,39,39,latent_infections,1.9526273931091964e-8
0,40,40,latent_infections,1.4840183837350196e-7
0,41,41,latent_infections,1.2485324418776145e-7
0,42,42,latent_infections,2.3268302840051547e-8
0,43,43,latent_infections,4.5380770075098553e-7
0,44,44,latent_infections,1.2116619529933814e-7
0,45,45,latent_infections,3.8990199868749187e-7
0,46,46,latent_infections,4.583686745718296e-7
0,47,47,latent_infections,1.8911970300905523e-7
0,48,48,latent_infections,1.2247316760749527e-7
0,49,49,latent_infections,8.762275172102818e-8
0,50,50,latent_infections,1.624665202371034e-8
0,51,51,latent_infections,2.6382172002570314e-9
0,52,52,latent_infections,1.8810306645633545e-9
0,53,53,latent_infections,1.9712592447262978e-8
0,54,54,latent_infections,3.013411387087217e-8
0,55,55,latent_infections,7.518453060129104e-8
0,56,56,latent_infections,1.0987797338657401e-7
0,57,57,latent_infections,1.893783405648719e-7
0,58,58,latent_infections,1.4383832080966386e-7
0,59,59,latent_infections,9.241701093287702e-8
0,60,60,latent_infections,4.918474019177665e-7
0,61,61,latent_infections,6.054904844177145e-8
0,62,62,latent_infections,1.212827243080028e-7
0,63,63,latent_infections,1.3444261526274204e-7
0,64,64,latent_infections,2.4618637795015275e-8
0,65,65,latent_infections,3.30872040876784e-8
0,66,66,latent_infections,5.147274961814219e-8
0,67,67,latent_infections,7.921876772343239e-7
0,68,68,latent_infections,1.4174670468491968e-6
0,69,69,latent_infections,5.525997721633757e-7
0,70,70,latent_infections,7.059026074784924e-7
0,71,71,latent_infections,1.7135571397375315e-6
0,72,72,latent_infections,2.857261733879568e-7
0,73,73,latent_infections,1.1543287428139593e-6
0,74,74,latent_infections,1.5754927362721105e-9
0,75,75,latent_infections,2.6875488501332256e-9
0,76,76,latent_infections,7.3086927621091036e-9
0,77,77,latent_infections,1.07739550614383e-8
0,78,78,latent_infections,6.022651710679838e-9
0,79,79,latent_infections,5.936263960393262e-7
0,80,80,latent_infections,8.157442721312691e-7
0,81,81,latent_infections,5.4775323832245704e-8
0,82,82,latent_infections,9.897906920741661e-7
0,83,83,latent_infections,2.3387532621654827e-7
0,84,84,latent_infections,3.862609077032175e-8
0,85,85,latent_infections,3.184995378546773e-8
0,86,86,latent_infections,2.407118948610787e-9
0,87,87,latent_infections,6.180501088692836e-8
0,88,88,latent_infections,4.621394822379443e-8
0,89,89,latent_infections,6.797903040478559e-8
0,90,90,latent_infections,6.444638245284295e-8
0,91,91,latent_infections,2.8012861363890806e-8
0,92,92,latent_infections,3.256150762354082e-7
0,93,93,latent_infections,3.268152326540985e-8
0,94,94,latent_infections,6.349093695234842e-8
0,95,95,latent_infections,5.439676087348744e-8
0,96,96,latent_infections,3.8427312887279186e-8
0,97,97,latent_infections,2.0684563395434452e-8
0,98,98,latent_infections,3.508691293063748e-8
0,99,99,latent_infections,9.359521158103234e-9
0,100,100,latent_infections,6.413537700922234e-9
0,101,101,latent_infections,4.011842520412756e-7
0,102,102,latent_infections,3.504019900901767e-7
0,103,103,latent_infections,3.382901354598289e-7
0,104,104,latent_infections,6.294477543633548e-7
0,105,105,latent_infections,1.03763845515914e-7
0,106,106,latent_infections,5.316266538102354e-7
0,107,107,latent_infections,5.527003850147594e-7
0,108,108,latent_infections,1.3505108142908284e-7
0,109,109,latent_infections,3.814035380855785e-7
0,110,110,latent_infections,5.265777645035996e-7
0,111,111,latent_infections,2.0245396115115e-7
0,112,112,latent_infections,2.2239460406581202e-7
0,113,113,latent_infections,1.278642827173826e-7
0,114,114,latent_infections,2.0819163637497695e-7
0,115,115,latent_infections,1.5359950111815124e-7
0,116,116,latent_infections,1.6475205200094933e-7
0,117,117,latent_infections,3.082849673319288e-7
0,118,118,latent_infections,1.8558971248694434e-7
0,119,119,latent_infections,7.901875420657234e-8
0,120,120,latent_infections,8.121775607605741e-8
0,121,121,latent_infections,6.711608762088872e-7
0,122,122,latent_infections,6.388200972651248e-7
0,123,123,latent_infections,5.130925728735747e-8
0,124,124,latent_infections,9.583380489175397e-8
0,125,125,latent_infections,4.18234336052592e-8
0,126,126,latent_infections,3.10075272125232e-8
0,127,127,latent_infections,1.5364491900982102e-7
0,128,128,latent_infections,3.165856199416339e-8
0,129,129,latent_infections,5.038897299414202e-8
0,130,130,latent_infections,1.771129092276169e-7
0,131,131,latent_infections,7.493441245287613e-8
0,132,132,latent_infections,2.0066170236532344e-7
0,133,133,latent_infections,3.072505805334913e-8
0,134,134,latent_infections,9.327517602741864e-8
0,135,135,latent_infections,6.67237358698003e-8
0,136,136,latent_infections,5.9355055981313853e-8
0,137,137,latent_infections,1.742448318964307e-7
0,138,138,latent_infections,4.397460884320026e-8
0,139,139,latent_infections,1.620974643401496e-7
0,140,140,latent_infections,4.591224112004966e-8
0,141,141,latent_infections,1.2001490290458605e-7
0,142,142,latent_infections,1.1932666410530146e-8
0,143,143,latent_infections,1.0317062049125525e-7
0,144,144,latent_infections,9.041902870876584e-8
0,145,145,latent_infections,2.6461819402356923e-7
0,146,146,latent_infections,3.504574976886943e-7
0,147,147,latent_infections,8.051771374084638e-7
0,148,148,latent_infections,1.6516848972969456e-6
0,149,149,latent_infections,4.4045125946468033e-7
0,150,150,latent_infections,3.7543350117630325e-7
0,151,151,latent_infections,3.340088596814894e-7
0,152,152,latent_infections,9.809170933294808e-7
0,153,153,latent_infections,2.9646912480529863e-7
0,154,154,latent_infections,2.5683974058665626e-7
0,155,155,latent_infections,6.759992174920626e-7
0,156,156,latent_infections,5.114857231092174e-7
0,157,157,latent_infections,4.4234002416487783e-7
0,158,158,latent_infections,2.204367319791345e-7
0,159,159,latent_infections,1.5279070453289023e-7
0,160,160,latent_infections,2.5386779611835664e-7
0,161,161,latent_infections,2.5335384634672664e-7
0,162,162,latent_infections,2.607028193324368e-7
0,163,163,latent_infections,1.5327991320646106e-7
0,164,164,latent_infections,9.423958857723846e-8
0,165,165,latent_infections,1.6743463220336707e-6
0,166,166,latent_infections,5.239489269115438e-7
0,167,167,latent_infections,1.6228677850449458e-6
0,168,168,latent_infections,1.219625801240909e-6
0,169,169,latent_infections,2.4481471427861834e-7
0,170,170,latent_infections,4.8679073216817415e-8
0,171,171,latent_infections,6.476954581557948e-7
0,172,172,latent_infections,8.13008966815687e-7
0,173,173,latent_infections,6.29222654424666e-7
0,174,174,latent_infections,6.427378593798494e-7
0,175,175,latent_infections,9.898926691676024e-7
0,176,176,latent_infections,2.4323452407770674e-7
0,177,177,latent_infections,1.7881995972857112e-7
0,178,178,latent_infections,3.607713665587653e-7
0,179,179,latent_infections,1.790933090717317e-8
0,180,180,latent_infections,1.976865604547129e-8
0,181,181,latent_infections,1.8132610080101585e-8
0,182,182,latent_infections,1.1513553488384787e-7
0,183,183,latent_infections,1.507136282441479e-8
0,184,184,latent_infections,7.871110874191345e-9
0,185,185,latent_infections,1.8262497292198532e-7
0,186,186,latent_infections,1.3741939142164483e-7
0,187,187,latent_infections,6.564080479165568e-8
0,188,188,latent_infections,1.0216020029929496e-7
0,189,189,latent_infections,5.304653782900459e-8
0,190,190,latent_infections,1.6481382658639632e-7
0,191,191,latent_infections,1.1783083664340666e-7
0,192,192,latent_infections,4.196046532456421e-8
0,193,193,latent_infections,1.5491755434027255e-8
0,194,194,latent_infections,1.0602692945838044e-8
