state,date,hosp
AK,2022/03/20,0
AK,2022/03/21,0
AK,2022/03/22,3
AK,2022/03/23,0
AK,2022/03/24,0
AK,2022/03/25,0
AK,2022/03/26,0
AK,2022/03/27,0
AK,2022/03/28,0
AK,2022/03/29,0
AK,2022/03/30,0
AK,2022/03/31,0
AK,2022/04/01,0
AK,2022/04/02,0
AK,2022/04/03,0
AK,2022/04/04,0
AK,2022/04/05,0
AK,2022/04/06,0
AK,2022/04/07,1
AK,2022/04/08,1
AK,2022/04/09,0
AK,2022/04/10,0
AK,2022/04/11,0
AK,2022/04/12,1
AK,2022/04/13,0
AK,2022/04/14,0
AK,2022/04/15,0
AK,2022/04/16,0
AK,2022/04/17,1
AK,2022/04/18,0
AK,2022/04/19,0
AK,2022/04/20,1
AK,2022/04/21,0
AK,2022/04/22,0
AK,2022/04/23,0
AK,2022/04/24,0
AK,2022/04/25,0
AK,2022/04/26,1
AK,2022/04/27,0
AK,2022/04/28,0
AK,2022/04/29,0
AK,2022/04/30,0
AK,2022/05/01,2
AK,2022/05/02,1
AK,2022/05/03,0
AK,2022/05/04,0
AK,2022/05/05,0
AK,2022/05/06,0
AK,2022/05/07,3
AK,2022/05/08,0
AK,2022/05/09,2
AK,2022/05/10,0
AK,2022/05/11,0
AK,2022/05/12,1
AK,2022/05/13,0
AK,2022/05/14,0
AK,2022/05/15,2
AK,2022/05/16,2
AK,2022/05/17,1
AK,2022/05/18,2
AK,2022/05/19,3
AK,2022/05/20,3
AK,2022/05/21,5
AK,2022/05/22,1
AK,2022/05/23,0
AK,2022/05/24,1
AK,2022/05/25,0
AK,2022/05/26,0
AK,2022/05/27,0
AK,2022/05/28,2
AK,2022/05/29,0
AK,2022/05/30,0
AK,2022/05/31,0
AK,2022/06/01,0
AK,2022/06/02,0
AK,2022/06/03,0
AK,2022/06/04,2
AK,2022/06/05,0
AK,2022/06/06,0
AK,2022/06/07,0
AK,2022/06/08,0
AK,2022/06/09,2
AK,2022/06/10,2
AK,2022/06/11,2
AK,2022/06/12,0
AK,2022/06/13,0
AK,2022/06/14,0
AK,2022/06/15,0
AK,2022/06/16,1
AK,2022/06/17,0
AK,2022/06/18,0
AK,2022/06/19,0
AK,2022/06/20,0
AK,2022/06/21,3
AK,2022/06/22,0
AK,2022/06/23,0
AK,2022/06/24,0
AK,2022/06/25,0
AK,2022/06/26,0
AK,2022/06/27,0
AK,2022/06/28,1
AK,2022/06/29,1
AK,2022/06/30,0
AK,2022/07/01,0
AK,2022/07/02,0
AK,2022/07/03,0
AK,2022/07/04,0
AK,2022/07/05,0
AK,2022/07/06,0
AK,2022/07/07,1
AK,2022/07/08,1
AK,2022/07/09,1
AK,2022/07/10,0
AK,2022/07/11,0
AK,2022/07/12,0
AK,2022/07/13,0
AK,2022/07/14,0
AK,2022/07/15,0
AK,2022/07/16,0
AK,2022/07/17,0
AK,2022/07/18,0
AK,2022/07/19,0
AK,2022/07/20,0
AK,2022/07/21,0
AK,2022/07/22,0
AK,2022/07/23,0
AK,2022/07/24,0
AK,2022/07/25,0
AK,2022/07/26,0
AK,2022/07/27,0
AK,2022/07/28,0
AK,2022/07/29,0
AK,2022/07/30,0
AK,2022/07/31,0
AK,2022/08/01,0
AK,2022/08/02,0
AK,2022/08/03,0
AK,2022/08/04,0
AK,2022/08/05,0
AK,2022/08/06,0
AK,2022/08/07,0
AK,2022/08/08,0
AK,2022/08/09,0
AK,2022/08/10,1
AK,2022/08/11,0
AK,2022/08/12,0
AK,2022/08/13,0
AK,2022/08/14,0
AK,2022/08/15,0
AK,2022/08/16,0
AK,2022/08/17,0
AK,2022/08/18,1
AK,2022/08/19,0
AK,2022/08/20,0
AK,2022/08/21,0
AK,2022/08/22,1
AK,2022/08/23,0
